iter	Passed	Remaining
0	255	127323
1	281	70033
2	303	50308
3	328	40793
4	358	35473
5	391	32215
6	426	30032
7	487	29963
8	531	29000
9	573	28107
10	601	26744
11	627	25521
12	653	24479
13	683	23720
14	714	23113
15	737	22313
16	761	21622
17	783	20989
18	808	20478
19	838	20122
20	866	19761
21	900	19566
22	925	19187
23	948	18816
24	974	18518
25	1005	18334226	1036	18152227	1078	18172
28	1114	18094
29	1149	18010
30	1187	17966
31	1229	17979
32	1282	18155
33	1311	17973
34	1336	17750
35	1364	17580
36	1398	17502
37	1426	17342
38	1475	17446
39	1520	17483
40	1564	17509
41	1604	17500
42	1659	17632
43	1712	17743
44	1762	17825
45	1816	17930
46	1847	17802
47	1881	17718
48	1940	17858
49	1990	17913
50	2019	17778
51	2059	17745
52	2110	17801
53	2156	17813
54	2198	17789
55	2220	17602
56	2237	17389
57	2264	17259
58	2295	17156
59	2346	17204
60	2388	17190
61	2453	17331
62	2493	17293
63	2531	17242
64	2570	17204
65	2605	17133
66	2660	17192
67	2696	17131
68	2725	17027
69	2777	17063
70	2828	17091
71	2858	16994
72	2884	16874
73	29274	2920	74	2953	16738
75	29776	2987	76	30077	3042	16461
78	3093	16486
79	3149	16532
80	3182	16460
81	3219	16412
82	3250	16332
83	3283	16260
84	3337	16293
85	3382	16281
86	3413	16203
87	3445	16129
88	3468	16018
89	3503	15961
90	3532	15875
91	3560	15790
92	3587	15699
93	3609	15591
94	3644	15536
95	3671	15452
96	3699	15371
97	3720	15262
98	3743	15162
99	3764	99	377100	3793100	380101	3813101	384102	3837102	3873	14928
103	389104	3895104	3929	14783
105	3959	14715
106	3982	14628
107	4008	14548
108	403109	4027109	405110	4054110	408111	4080111	410112	4104112	413113	4137113	416114	4166114	418115	4189115	421116	4219116	424117	4250117	427118	4277118	430119	4298119	433120	4327120	4368	13681
121	4397	13625
122	4423	13559
123	4452	13500
124	447125	4475125	449126	4504126	452127	4529127	455128	4556128	457129	4588129	460130	4618130	462131	4646	12952
132	4674	12899
133	4710	12867
134	4746	12833
135	4775	12781
136	4805	12733
137	4832	12677
138	4861	12625
139	4890	12574
140	4918	12523
141	4952	12485
142	4981	12435
143	5003	12369
144	5033	12323
145	5067	12287
146	5100	12248
147	5129	12200
148	5157	12148
149	5184	12097
150	5214	12051
151	5239	11996
152	5275	11965
153	5304	11918
154	5336	11877
155	5368	11839
156	5394	11785
157	5419	11730
158	5449	11687
159	5483	11653
160	5506	11594
161	5538	11554
162	5567	11511
163	5598	11469
164	5628	11426
165	5656	11380
166	5685	11336
167	5711	11286
168	5742	11246
169	5770	11201
170	5801	11162
171	5827	11113
172	5861	11080
173	5898	11051
174	5924	11003
175	5951	10956
176	5984	10920
177	6014	10880
178	6045	10841
179	6081	10811
180	6108	10765
181	6142	10732
182	6178	10701
183	6209	10664
184	6231	10610
185	6256	10561
186	6286	10522
187	6316	10482
188	6342	10435
189	6362	10380
190	6381	10323
191	6403	10271
192	6427	10224
193	6448	10171
194	6473	10125
195	6498	10079
196	6524	10034
197	6547	9986
198	6578	9950
199	6600	9900
200	6620	9848
201	6640	9797
202	6661	9745
